"X","Y"
669161.93,6583939.03
669344.11,6584257.18
668028.58,6582852.71
665953.35,6582337.57
668889.47,6583373.67
557079.79,6446382.33
556518.63,6445663.26
556232.61,6445393.92
557139.28,6446205.54
555664.97,6445457.08
557817.03,6446609.46
557602.64,6445966.58
555660.15,6445256.95
555406.38,6445112.61
555711.82,6445229.5
557060.64,6445536.12
556719.87,6446123.33
555641.78,6446049.26
557169.32,6446108.53
556249.47,6445450.21
555803.53,6445541.66
557945.81,6446204.22
555572.78,6445560.72
556111.45,6445773.35
556876.79,6446006.49
556936.62,6446130.08
556097.99,6445588.06
556355.1,6445461.31
555840.52,6445047.81
557131.24,6446257.55
557597.03,6446217.51
659212.08,6474485.19
658990,6474543.28
658385.07,6473767.33
659819.44,6474372.14
658119.49,6474343.24
659247.78,6473862.21
658827.18,6474037.25
657890.25,6473660.92
660929.44,6474118.4
662003.45,6473874.26
659193.62,6470850.16
657010.8,6473219.58
657120.02,6473232.52
659044.94,6476526.83
659304.41,6476392.41
659128.24,6470684.07
657675.43,6472530.91
659334.38,6470665.37
659272.59,6476534.97
658179.18,6471491.09
657747.47,6471685.98
560965.56,6581367.52
658017.84,6473214.95
560331.62,6580260.11
561096.36,6581521.78
561200.21,6582042.22
561065.35,6581841.22
561194.04,6581534.52
561471.17,6581581.02
560872.72,6581031.32
657801.38,6471054.01
561058.52,6581069.72
658497,6476521.49
560960.65,6581910.77
560543.34,6581286.16
661876,6471505.61
560915.02,6581287.79
